Municipality,GEO_ID,Firm_Sale_Amount,Ethnicity,Gender,Employee_Amount,Amount_of_Firms,State
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$500,000-$999,999",null,Equally male/female,7305,1319,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$1,000,000 or more",null,Equally male/female,57911,1873,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"Less than $5,000",Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$5,000-$9,999",Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$10,000-$24,999",Hispanic,null,68,210,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$25,000-$49,999",Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$50,000-$99,999",Hispanic,null,628,857,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$100,000-$249,999",Hispanic,null,2864,1686,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$250,000-$499,999",Hispanic,null,4915,1638,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$500,000-$999,999",Hispanic,null,7944,1412,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$1,000,000 or more",Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"Less than $5,000",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$5,000-$9,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$10,000-$24,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$25,000-$49,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$50,000-$99,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$100,000-$249,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$250,000-$499,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$500,000-$999,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$1,000,000 or more",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"Less than $5,000",Non-Hispanic,null,1325,336,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$5,000-$9,999",Non-Hispanic,null,803,530,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$10,000-$24,999",Non-Hispanic,null,1825,1557,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$25,000-$49,999",Non-Hispanic,null,1784,2138,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$500,000-$999,999",Non-Hispanic,null,32471,5914,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$50,000-$99,999",Non-Hispanic,null,6032,5016,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$100,000-$249,999",Non-Hispanic,null,17161,9705,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$250,000-$499,999",Non-Hispanic,null,22130,7322,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$1,000,000 or more",Non-Hispanic,null,379511,10819,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"Less than $5,000",null,null,946,527,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$5,000,$9,000",null,null,312,554,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $10,000-$24,999",null,null,1436,1444,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$25,000-$49,999",null,null,2832,2903,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$50,000-$99,999",null,null,7682,6562,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$100,000-$249,999",null,null,24545,13107,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$250,000 to $499,999",null,null,35532,11657,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$500,000-$999,999",null,null,54755,9591,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $1,000,000 or more",null,null,1019429,18114,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"Less than $5,000",null,Female,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$5,000,$9,000",null,Female,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $10,000-$24,999",null,Female,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$25,000-$49,999",null,Female,519,836,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$50,000-$99,999",null,Female,2474,1765,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$100,000-$249,999",null,Female,6169,3315,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$250,000 to $499,999",null,Female,10277,2583,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$500,000-$999,999",null,Female,11229,1987,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $1,000,000 or more",null,Female,54011,2474,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"Less than $5,000",null,Male,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$5,000,$9,000",null,Male,287,397,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $10,000-$24,999",null,Male,826,859,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$25,000-$49,999",null,Male,1642,1712,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$50,000-$99,999",null,Male,4022,3855,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$100,000-$249,999",null,Male,12771,7608,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$250,000 to $499,999",null,Male,18673,7215,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$500,000-$999,999",null,Male,33055,5881,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $1,000,000 or more",null,Male,306753,10569,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"Less than $5,000",null,Equally male/female,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$5,000,$9,000",null,Equally male/female,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $10,000-$24,999",null,Equally male/female,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$25,000-$49,999",null,Equally male/female,354,313,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$50,000-$99,999",null,Equally male/female,1137,908,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$100,000-$249,999",null,Equally male/female,5159,2027,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$250,000 to $499,999",null,Equally male/female,5670,1696,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$500,000-$999,999",null,Equally male/female,9192,1529,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $1,000,000 or more",null,Equally male/female,46865,2350,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"Less than $5,000",Hispanic,null,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$5,000,$9,000",Hispanic,null,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $10,000-$24,999",Hispanic,null,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$25,000-$49,999",Hispanic,null,306,335,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$50,000-$99,999",Hispanic,null,900,634,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$100,000-$249,999",Hispanic,null,1918,1206,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$250,000 to $499,999",Hispanic,null,4090,1221,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$500,000-$999,999",Hispanic,null,6732,1182,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $1,000,000 or more",Hispanic,null,30098,1094,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"Less than $5,000",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$5,000,$9,000",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $10,000-$24,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$25,000-$49,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$50,000-$99,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$100,000-$249,999",Equally Hispanic/non-Hispanic,null,679,190,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$250,000 to $499,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$500,000-$999,999",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $1,000,000 or more",Equally Hispanic/non-Hispanic,null,0,0,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"Less than $5,000",Non-Hispanic,null,918,498,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$5,000,$9,000",Non-Hispanic,null,304,506,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $10,000-$24,999",Non-Hispanic,null,1149,1261,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$25,000-$49,999",Non-Hispanic,null,2179,2490,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$50,000-$99,999",Non-Hispanic,null,6633,5813,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$100,000-$249,999",Non-Hispanic,null,21501,11554,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$250,000 to $499,999",Non-Hispanic,null,29670,10073,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,"$500,000-$999,999",Non-Hispanic,null,45859,8022,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300," $1,000,000 or more",Non-Hispanic,null,374362,14129,Florida
